company_id,company
1,Tac - Yellow Cab Association
2,Flash Cab
3,Globe Taxi
4,Medallion Leasin
5,Chicago Independents
6,Blue Ribbon Taxi Association
7,Tac - Checker Cab Dispatch
8,5 Star Taxi
9,Transit Administrative Center Inc
10,City Service
11,Sun Taxi
12,Taxicab Insurance Agency Llc
13,Choice Taxi Association Inc
14,Chicago City Taxi Association
15,Taxicab Insurance Agency  LLC
16,Patriot Taxi Dba Peace Taxi Associat
17,312 Medallion Management Corp
18,Chicago Taxicab
19,3556 - 36214 RC Andrews Cab
20,Star North Taxi Management Llc
21,Top Cab
22,Wolley Taxi
23,Setare Inc
24,Tac - American United Dispatch
25,Tac - Yellow Non Color
26,Tac - Blue Diamond Dispatch
27,Koam Taxi Association
28,5167 - 71969 5167 Taxi Inc
29,U Taxicab
30,6574 - Babylon Express Inc.
31,Metro Jet Taxi A.
32,4053 - 40193 Adwar H. Nikola
